Acc_X,Acc_Y,Acc_Z
1366, -3788, -540
1488, -3878, -476
1702, -3736, -436
2144, -3638, -404
2558, -3628, -120
3252, -3326, -104
4246, -3132, -28
4766, -3204, 232
5140, -3178, 448
5506, -2988, 316
5978, -2806, 88
6248, -2750, -252
6504, -2534, -780
6664, -2304, -1232
6450, -2016, -1400
6194, -1836, -1500
5718, -1610, -1624
5264, -1090, -1124
5036, -880, -736
4348, -928, 200
3132, -754, 444
1838, -374, 152
846, -286, -128
-2, -196, -256
-824, -166, -224
-1724, -504, 204
-2578, -644, 400
-3392, -806, 756
-4136, -968, 1280
-4744, -1274, 1708
-4914, -1272, 2104
-4818, -1316, 1864
-4578, -1594, 2220
-4594, -1872, 2340
-4934, -862, 2900
-5558, -1312, 3040
-6252, -1300, 2872
-6958, -1292, 2824
-7698, -1344, 2924
-8192, -1608, 3040
-8192, -1604, 3048
-8104, -1646, 3208
-7976, -1856, 3436
-8016, -1802, 3248
-8160, -1602, 2824
-8148, -1352, 2684
-8192, -1746, 2292
-8192, -1716, 2612
-8192, -1592, 2356
-8192, -1702, 2512
-8192, -1612, 2480
-8192, -1572, 2320
-8192, -1782, 2620
-8192, -1832, 2704
-8192, -1812, 2668
-8192, -1798, 2636
-8192, -1812, 2536
-8192, -1798, 2424
-8192, -1656, 2156
-8192, -1568, 2016
-8192, -1564, 1956
-8162, -1452, 1868
-8124, -1352, 1860
-8112, -1382, 2016
-7882, -1224, 2232
-7558, -1192, 2668
-6956, -1188, 2904
-6548, -1046, 2724
-6218, -798, 2384
-6120, -664, 2092
-5626, -540, 1816
-5088, -408, 1760
-4470, -322, 1888
-3974, -154, 1972
-3374, 48, 1988
-2998, 142, 2050
-2664, 174, 2376
-2060, 316, 2552
-1506, 384, 2616
-396, 512, 2578
914, 406, 2416
2056, 20, 2516
3018, -136, 2002
4538, -56, 1074
5684, -84, 256
6566, -110, -260
6840, -352, -472
6900, -344, -372
6964, -296, -116
7046, -352, 164
6804, -464, 436
6592, -602, 412
6554, -660, 68
6820, -612, -420
7218, -492, -1216
7422, -456, -1904
8110, -418, -2244
8191, -292, -2336
8191, -836, -2644
8191, -442, -2574
8191, -524, -2412
8191, -754, -2488
8191, -632, -2316
8086, -694, -2000
7694, -642, -1932
7346, -700, -1844
6930, -864, -1624
6864, -868, -1660
6784, -812, -1852
6724, -960, -1568
6910, -858, -1546
7116, -720, -1832
7026, -632, -1932
6780, -604, -1880
6640, -474, -1724
6296, -418, -1416
6016, -396, -1076
5486, -308, -972
5022, -80, -996
4330, 98, -684
3874, 252, -360
3106, 318, -196
2788, 280, 184
2752, 348, 408
2660, 598, 676
2200, 806, 1038
1466, 1140, 1376
424, 1382, 1856
-602, 1554, 2800
-1764, 1212, 3528
-2812, 1024, 3316
-3604, 1114, 3012
-4442, 752, 3008
-5298, 362, 3040
-6266, 72, 2820
-6924, -84, 2620
-7562, -480, 2604
-7934, -768, 2384
-7664, -860, 2528
-7202, -906, 3264
-6822, -1022, 3964
-6550, -1300, 4324
-6196, -1262, 4336
-6666, -1412, 4576
-7728, -1452, 4622
-8192, -1532, 4268
-8192, -1412, 4004
-8192, -1488, 4024
-8192, -1608, 4416
-8192, -1660, 4352
-8192, -1766, 4208
-8192, -1664, 3564
-8192, -1504, 3024
-8192, -1452, 2704
-8192, -1386, 2644
-8192, -1524, 3000
-8192, -1560, 3040
-8192, -1612, 2820
-8192, -1534, 2936
-8192, -1524, 2756
-8192, -1416, 2352
-8192, -1202, 1916
-8192, -1122, 1748
-8192, -1120, 1880
-8192, -1154, 2148
-7878, -1064, 2204
-7566, -968, 2112
-7354, -890, 2140
-7104, -822, 2084
-6834, -828, 2116
-6540, -846, 2220
-6498, -680, 2368
-6050, -568, 2528
-5722, -736, 2880
-5254, -668, 2740
-4822, -668, 2532
-4446, -590, 2256
-4146, -326, 1804
-3714, -46, 1400
-3284, 98, 1320
-2630, 28, 1468
-1872, 64, 1644
-1138, 64, 1764
-412, -48, 1812
-100, -166, 1880
402, -280, 2092
1278, -102, 1832
2726, -240, 1520
3854, -504, 1284
4914, -782, 740
5742, -820, 168
6308, -544, -556
6800, -754, -500
6940, -786, -200
6944, -812, 180
6964, -864, 344
6694, -954, 436
6286, -962, 356
5968, -942, 164
5828, -954, -280
5780, -852, -688
6046, -890, -1324
6524, -846, -1792
6946, -842, -2136
7478, -900, -2400
7878, -976, -2602
8191, -1010, -2590
8191, -1012, -2602
8040, -1028, -2578
7514, -1028, -2516
7090, -1088, -2164
6626, -1078, -1904
6232, -1086, -1696
5894, -1108, -1616
5684, -1162, -1524
5692, -1278, -1532
5850, -1284, -1716
6142, -1276, -1888
6462, -1312, -2128
6668, -1284, -2228
6654, -1140, -2408
6528, -946, -2672
6264, -688, -2640
5778, -604, -2220
5126, -436, -1592
4844, -266, -1356
4390, -224, -716
3988, -180, -72
3262, -58, 572
2606, 46, 1184
2022, 204, 1420
1936, 356, 1416
1462, 486, 1480
872, 720, 1546
216, 1072, 1468
-784, 1352, 1392
-1650, 1464, 1180
-2734, 1448, 1100
-4260, 1206, 1300
-5662, 678, 1680
-7398, 322, 1616
-8192, -128, 2132
-8192, -946, 2588
-8192, -1720, 2868
-8192, -1762, 3142
-7528, -1676, 3460
-6194, -1860, 3804
-5234, -1902, 3784
-4844, -2082, 3648
-4998, -2040, 3336
-5396, -1742, 2684
-6234, -1524, 2504
-7030, -1590, 2740
-7938, -1656, 2764
-8192, -1952, 2948
-8192, -2036, 3240
-8124, -2238, 3492
-7956, -2270, 3560
-7790, -2118, 3340
-8006, -2040, 3260
-8064, -1906, 2960
-7938, -1778, 2612
-7732, -1616, 2280
-7736, -1576, 2062
-7894, -1616, 2036
-8170, -1716, 1900
-8192, -1668, 1760
-8192, -1664, 1760
-8164, -1724, 1948
-8128, -1736, 1872
-8192, -1690, 1728
-8192, -1556, 1440
-7890, -1828, 1558
-7702, -1422, 1448
-7222, -1312, 1216
-6898, -1322, 1288
-6622, -1360, 1364
-6408, -1300, 1356
-6126, -1214, 1380
-5936, -1284, 1572
-5836, -1488, 1804
-6080, -1498, 1924
-6164, -1420, 2000
-6100, -1206, 2116
-5582, -972, 2136
-4880, -746, 1968
-4324, -804, 1824
-3656, -656, 1844
-3170, -706, 1948
-2652, -742, 1952
-2280, -650, 1840
-1858, -464, 1712
-1366, -322, 1546
-632, -188, 1272
418, -70, 1068
1204, -128, 1016
2712, -258, 804
4032, -510, 652
5440, -890, 388
5982, -870, 172
6510, -690, -356
6864, -794, -404
7048, -950, -208
6908, -944, -128
6620, -928, -252
6622, -800, -416
6536, -826, -296
6670, -946, -348
6894, -924, -700
7184, -758, -1212
7174, -1024, -1872
7352, -890, -2384
7428, -890, -2836
7576, -838, -3016
7708, -886, -3140
7598, -944, -2944
7376, -1020, -2632
6982, -1056, -2256
6690, -1092, -1816
6386, -1110, -1456
6150, -1162, -1100
6028, -1300, -908
6092, -1324, -1030
6314, -1370, -1220
6606, -1388, -1308
6920, -1312, -1740
7148, -1266, -1896
7188, -1274, -1904
7004, -1222, -1732
7040, -1050, -1732
6648, -946, -1472
6028, -820, -1108
5160, -616, -896
4376, -322, -676
3564, -176, -344
2886, -4, -76
2380, 74, -84
2248, 272, -196
2232, 380, -112
1936, 272, 476
1872, 388, 976
1566, 778, 1104
728, 872, 1528
-518, 1150, 1648
-1636, 1628, 1332
-2890, 1884, 1128
-4618, 1396, 1660
-5788, 946, 2042
-6894, 594, 2024
-7594, 142, 2352
-8130, -598, 2952
-8136, -1000, 3740
-8000, -1698, 4064
-7480, -1638, 4220
-6648, -1698, 4196
-6200, -1396, 4020
-6276, -1404, 3900
-6502, -1624, 3976
-7008, -1572, 3988
-7614, -1530, 3588
-8176, -1520, 3392
-8192, -1660, 3528
-8192, -1826, 3876
-8192, -2048, 4244
-8192, -2184, 4452
-8192, -2226, 4344
-8192, -2066, 3988
-8192, -1916, 3696
-8192, -1828, 3332
-8192, -1750, 3076
-8192, -1638, 2756
-8192, -1590, 2532
-8192, -1510, 2260
-8192, -1552, 2284
-8192, -1538, 2276
-8192, -1530, 2280
-8094, -1486, 2272
-8088, -1508, 2204
-8192, -1474, 2264
-8192, -1448, 2324
-8038, -1344, 2532
-7698, -1330, 2624
-7452, -1206, 2552
-7182, -1062, 2436
-6522, -868, 2292
-5980, -850, 1992
-5588, -784, 1816
-5362, -590, 1684
-5344, -400, 1580
-5172, -194, 1708
-4776, -16, 1612
-4276, 120, 1744
-3398, 280, 1704
-2366, 214, 1600
-1448, 46, 1620
-700, 140, 1546
136, 148, 1232
1094, 62, 1156
2384, -94, 948
4036, -564, 648
4638, -958, 976
6330, -554, 22
7370, -834, -260
7816, -1054, -116
7340, -1232, 48
6790, -1192, 120
6270, -1166, 212
5754, -960, 336
5252, -1016, 612
5030, -1018, 588
5152, -1014, 396
5418, -1140, 208
6118, -1278, -68
6714, -1276, -584
7292, -1366, -980
7532, -1138, -1700
7576, -1206, -2140
7418, -1184, -2328
7152, -1234, -2228
6924, -1206, -2062
6756, -1228, -1788
6668, -1258, -1528
6636, -1318, -1296
6610, -1342, -1024
6476, -1408, -1038
6360, -1420, -1220
6396, -1364, -1516
6628, -1282, -1796
7006, -1288, -1904
7284, -1296, -1824
7558, -1024, -2180
7756, -1092, -2372
7650, -916, -2632
7384, -602, -2796
6930, -280, -2364
6124, -24, -1496
5334, -92, -1104
4364, -6, -908
4166, 284, -1248
3818, 656, -1220
3136, 914, -228
2666, 836, 1224
2416, 854, 1400
1968, 1078, 1760
884, 1360, 2160
60, 1340, 1892
-1146, 1884, 1924
-2668, 1846, 1436
-4120, 2022, 232
-5338, 1744, -248
-6410, 1478, 184
-7768, 816, 584
-8192, 168, 1428
-8192, -330, 2356
-8192, -876, 3650
-7628, -1598, 4940
-7182, -2014, 5860
-6392, -1900, 5936
-5532, -2084, 5356
-5418, -1980, 4860
-5998, -1498, 3976
-6492, -1288, 3484
-6910, -1270, 2864
-7636, -1312, 2496
-7960, -1264, 2288
-8022, -1240, 2140
-8192, -1236, 2456
-8192, -1342, 3086
-8192, -1694, 3732
-8192, -1742, 3980
-8192, -1680, 3900
-8192, -1608, 3652
-8192, -1564, 3606
-8192, -1504, 3408
-8192, -1354, 2944
-8192, -1170, 2424
-8192, -1114, 2096
-8192, -1208, 2024
-8192, -1164, 1932
-8192, -1062, 1940
-8192, -1144, 2076
-8192, -1274, 2312
-8136, -1270, 2216
-7970, -886, 1542
-7958, -868, 1566
-7934, -920, 1912
-7702, -912, 2180
-7212, -820, 2348
-6812, -872, 2416
-6842, -712, 2536
-6652, -324, 2492
-6386, -14, 2452
-6452, 118, 2896
-6020, -24, 2936
-5968, 704, 3200
-5216, 1184, 2816
-4456, 1304, 2864
-3310, 1832, 2626
-2594, 2210, 1958
-1120, 2570, 1380
1350, 2304, 648
